Invoice #;Date;Operation Type (purchase / relocation);Product;Quantity;Cost Price;Total;Supplier;Store
900001;01.01.2017; Purchase;" Phone Type 4; HP";3;332;996; B;10
900002;01.01.2017; Purchase;" Desktop Type 4; HP";2;373;746; B;10
900003;01.01.2017; Purchase;" Desktop Type 3; Samsung";5;159;795; B;10
900004;01.01.2017; Purchase;" Desktop Type 1; HP";2;415;830; B;10
900005;01.01.2017; Purchase;" Smart Watch Type 1; Dell";4;189;756; B;10
900006;01.01.2017; Purchase;" Tablet Type 4; Dell";3;300;900; B;10
900007;01.01.2017; Purchase;" Smart Watch Type 3; HP";5;167;835; C;10
900008;01.01.2017; Purchase;" Phone Type 6; Dell";5;368;1840; C;10
900009;01.01.2017; Purchase;" Memory Type 2; Huawei";4;90;360; C;10
900010;01.01.2017; Purchase;" Desktop Type 3; HP";1;178;178; C;10
900011;01.01.2017; Purchase;" Keyboard Type 3; Samsung";5;14;70; C;10
900012;01.01.2017; Purchase;" Mouse Type 7; HP";3;11;33; C;10
900013;01.01.2017; Purchase;" Phone Type 12; Dell";5;284;1420; C;10
900014;01.01.2017; Purchase;" Monitor Type 1; Huawei";1;116;116; C;10
900015;01.01.2017; Purchase;" Mouse Type 2; HP";1;8;8; C;10
900016;01.01.2017; Purchase;" Monitor Type 3; Dell";1;133;133; C;10
900017;01.01.2017; Purchase;" Mouse Type 5; Dell";3;10;30; C;10
900018;01.01.2017; Purchase;" Hard Drive Type 5; Dell";1;77;77; C;10
900019;01.01.2017; Purchase;" Monitor Type 4; HP";3;180;540; C;10
900020;01.01.2017; Purchase;" Tablet Type 1; HP";5;433;2165; C;10
900021;01.01.2017; Purchase;" Phone Type 12; Huawei";1;342;342; C;10
900022;01.01.2017; Purchase;" Microphone Type 1; Samsung";3;29;87; C;10
900023;01.01.2017; Purchase;" Speakers Type 6; Samsung";1;12;12; A;10
900024;01.01.2017; Purchase;" Headphones Type 3; HP";3;38;114; A;10
900025;01.01.2017; Purchase;" Laptop Type 3; Dell";3;1599;4797; A;10
900026;01.01.2017; Purchase;" Headphones Type 4; Samsung";4;27;108; A;10
900027;01.01.2017; Purchase;" Hard Drive Type 1; Samsung";5;48;240; B;10
900028;01.01.2017; Purchase;" Mouse Type 2; Dell";3;9;27; B;10
900029;01.01.2017; Purchase;" Charger Type 1; Samsung";3;6;18; B;10
900030;01.01.2017; Purchase;" Mouse Type 1; HP";5;5;25; B;10
900031;01.01.2017; Purchase;" Monitor Type 4; Dell";4;170;680; B;10
900032;01.01.2017; Purchase;" Phone Type 10; Huawei";1;324;324; C;10
900033;01.01.2017; Purchase;" Phone Type 11; Huawei";2;362;724; C;10
900034;01.01.2017; Purchase;" Laptop Type 6; HP";2;817;1634; C;10
900035;01.01.2017; Purchase;" Hard Drive Type 6; Huawei";2;68;136; C;10
900036;01.01.2017; Purchase;" Laptop Type 1; HP";3;749;2247; C;10
900037;01.01.2017; Purchase;" Microphone Type 1; Dell";5;32;160; A;10
900038;01.01.2017; Purchase;" Keyboard Type 1; HP";1;44;44; A;10
900039;01.01.2017; Purchase;" Speakers Type 7; HP";2;25;50; B;10
900040;01.01.2017; Purchase;" Mouse Type 1; Dell";3;5;15; B;10
900041;01.01.2017; Purchase;" Mouse Type 1; Samsung";4;5;20; B;10
900042;01.01.2017; Purchase;" Mouse Type 6; Dell";4;19;76; B;10
900043;01.01.2017; Purchase;" Phone Type 1; Samsung";2;200;400; B;10
900044;01.01.2017; Purchase;" Tablet Type 1; Samsung";2;429;858; B;10
900045;01.01.2017; Purchase;" Hard Drive Type 2; Samsung";5;38;190; B;10
900046;01.01.2017; Purchase;" Keyboard Type 3; HP";3;16;48; B;10
900047;01.01.2017; Purchase;" Tablet Type 5; Huawei";5;148;740; B;10
900048;01.01.2017; Purchase;" Desktop Type 4; Huawei";3;360;1080; B;10
900049;01.01.2017; Purchase;" Headphones Type 3; Dell";2;45;90; B;10
900050;01.01.2017; Purchase;" Keyboard Type 2; Samsung";5;13;65; B;10
900051;01.01.2017; Purchase;" Microphone Type 1; HP";4;27;108; C;10
900052;01.01.2017; Purchase;" Mouse Type 5; HP";4;13;52; C;10
900053;01.01.2017; Purchase;" Desktop Type 9; Huawei";5;463;2315; C;10
900054;01.01.2017; Purchase;" Desktop Type 8; HP";5;399;1995; C;10
900055;01.01.2017; Purchase;" Hard Drive Type 1; Huawei";4;35;140; C;10
900056;01.01.2017; Purchase;" Hard Drive Type 6; HP";1;68;68; C;10
900057;01.01.2017; Purchase;" Memory Type 4; Dell";4;63;252; C;10
900058;01.01.2017; Purchase;" Laptop Type 6; Samsung";2;789;1578; A;10
900059;01.01.2017; Purchase;" Laptop Type 5; HP";2;913;1826; A;10
900060;01.01.2017; Purchase;" Desktop Type 1; Huawei";4;423;1692; A;10
900061;01.01.2017; Purchase;" Charger Type 2; HP";2;9;18; A;10
900062;01.01.2017; Purchase;" Hard Drive Type 2; Huawei";3;33;99; A;10
900063;01.01.2017; Purchase;" Desktop Type 6; Samsung";2;272;544; B;10
900064;01.01.2017; Purchase;" Phone Type 2; Samsung";3;208;624; B;10
900065;01.01.2017; Purchase;" Desktop Type 4; Dell";2;341;682; B;10
900066;01.01.2017; Purchase;" Smart Watch Type 1; Samsung";2;224;448; B;10
900067;01.01.2017; Purchase;" Headphones Type 6; Huawei";1;45;45; B;10
900068;01.01.2017; Purchase;" Memory Type 1; Dell";3;47;141; B;10
900069;01.01.2017; Purchase;" Phone Type 3; Huawei";3;336;1008; B;10
900070;01.01.2017; Purchase;" Speakers Type 6; HP";4;17;68; B;10
900071;01.01.2017; Purchase;" Memory Type 1; Samsung";5;40;200; B;10
900072;01.01.2017; Purchase;" Monitor Type 1; Samsung";5;103;515; B;10
900073;01.01.2017; Purchase;" Phone Type 9; Samsung";5;340;1700; B;10
900074;01.01.2017; Purchase;" Phone Type 2; HP";4;278;1112; B;10
900075;01.01.2017; Purchase;" Keyboard Type 4; Dell";3;15;45; B;10
900076;01.01.2017; Purchase;" Speakers Type 7; Dell";2;25;50; B;10
900077;01.01.2017; Purchase;" Phone Type 7; Huawei";1;391;391; B;10
